news_outlet,provenance,query_keywords,creation_date,last_modified,crawl_date,author_person,author_organization,news_keywords,recommendations,title,language,article_length,number_subheaders,forbidden_pattern
cicero,https://www.cicero.de/aussenpolitik/fpoe-oesterreich-braunau-rattengedicht-heinz-christian-strache,['migrant'],23.04.2019,23.04.2019,26.11.2020,[],['Fundstück'],"['Österreich', 'Braunau', 'FPÖ', 'Rattengedicht', 'ÖVP']",[],Rassismus in der FPÖ - Von Ratten und Migranten,de,2277,0,False
cicero,https://www.cicero.de/innenpolitik/sozialdemokratie-krise-kosmopolitismus-spd-verhaengnis,"['migration', 'zuwander']",11.08.2020,11.08.2020,27.11.2020,['Michael Sommer'],[],"['SPD', 'Zustand SPD', 'Olaf Scholz', 'Sozialdemokratie', 'Bundestagswahl']",[],Sozialdemokratie in der Krise - Linker Kosmopolitismus wird der SPD zum Verhängnis,de,10344,7,False
cicero,https://www.cicero.de/kultur/neustart-kino-curveland-pilze-beckenrand-sheriff,['asyl'],09.09.2021,09.09.2021,12.01.2022,['Dieter Osswald'],[],"['Kino', 'Film']",[],"Filme der Woche - Von Biowaffen, Pilzen und anderen Arschbomben",de,9271,6,False
cicero,https://www.cicero.de/innenpolitik/eu-aussengrenze-griechenland-tuerkei-migranten,"['flüchtl', 'migrant']",09.03.2020,09.03.2020,27.11.2020,[],['Fundstück'],"['Griechenland', 'Türkei', 'Recep Tayyeb Erdogan', 'Flüchtlinge']",[],Drama an der EU-Außengrenze - Wo Europa aufhört,de,2352,1,False
cicero,https://www.cicero.de/aussenpolitik/demonstrationen-shutdown-corona-proteste-usa-donald-trump,"['migration', 'immigration', 'einwander']",27.04.2020,27.04.2020,27.11.2020,['Eva C. Schweitzer'],[],"['Coronakrise', 'Donald Trump', 'USA']",[],Demonstrationen gegen den Shutdown - Wer hinter den Corona-Protesten in den USA steckt,de,6558,8,False
cicero,https://www.cicero.de/innenpolitik/urteil-halle-attentat-stephan-b-synagoge-rechtsextremismus-internet,"['asyl', 'flüchtl']",21.12.2020,21.12.2020,12.01.2022,['Florian Hartleb'],[],"['Halle', 'Terroranschlag', 'Stephan B.', 'Christchurch', 'Breivik', 'Internet']",[],Urteil gegen Halle-Attentäter - Opfer einer Kränkungsideologie,de,7999,6,False
cicero,https://www.cicero.de/aussenpolitik/greencard-trump-jared-kushner-einwanderung-usa-dreamers,"['immigration', 'migration', 'ausländer', 'migrant', 'immigrant', 'zuwander', 'einwander']",20.05.2019,20.05.2019,27.11.2020,['Eva C. Schweitzer'],[],"['Greencard', 'Trump', 'Jared Kushner', 'Einwanderung', 'USA', 'Dreamers']",[],Immigration in die USA - Wer sind die besseren Einwanderer?,de,8607,5,False
cicero,https://www.cicero.de/innenpolitik/nrw-kommunalwahlen-oberbuergermeister-die-gruenen,"['flüchtl', 'einwander']",28.09.2020,28.09.2020,27.11.2020,['Stefan Laurin'],[],"['Bündnis 90/Die Grünen', 'Kommunalwahlen', 'NRW']",[],NRW-Kommunalwahlen - Alles auf Grün!,de,5314,5,False
cicero,https://www.cicero.de/aussenpolitik/polen-und-die-migrationskrise-in-den-klauen-der-geopolitik?utm_source=website_startseite&utm_campaign=meistgelesen,"['migration', 'migrant']",15.11.2021,15.11.2021,12.01.2022,['Bogusław Chrabota'],[],"['Polen', 'PiS-Partei', 'Jarosław Kaczynski', 'Wladimir Putin', 'Russland', 'Weißrussland', 'Belarus', 'Alexander Lukaschenko', 'Europäische Union', 'Nato', 'Flüchtlingskrise', 'Migrationskrise', 'Ukraine']",[],Polen und die Migrationskrise - In den Klauen der Geopolitik,de,13520,8,False
cicero,https://www.cicero.de/aussenpolitik/illegale-migration-mittelmeer-italien-regierung-eu-umverteilung-fluechtlinge,"['migration', 'asyl', 'flüchtl', 'migrant']",06.08.2021,06.08.2021,12.01.2022,[],['Cicero-Redaktion'],"['Flüchtlingskrise', 'Italien', 'Mario Draghi', 'Matteo Salvini', 'Lega Nord']",[],Illegale Migration über das Mittelmeer - Für Italien wird die Migration erneut zum Regierungsproblem,de,4034,1,False
cicero,https://www.cicero.de/innenpolitik/afd-parteitag-dresden-wahlprogramm-hardliner-joerg-meuthen,"['migration', 'flüchtl', 'einwander']",11.04.2021,11.04.2021,12.01.2022,[],['Cicero-Redaktion'],"['AfD', 'Jörg Meuthen', 'Wahlprogramm', 'EU', 'Bundestagswahl']",[],AfD-Parteitag in Dresden - Beim Wahlprogramm setzen sich die Hardliner durch,de,6320,4,False
cicero,https://www.cicero.de/aussenpolitik/seenotrettung-sea-watch-carola-rackete-alan-kurdi,"['flüchtl', 'migrant']",15.07.2019,15.07.2019,25.11.2020,[],['Gastbeitrag'],"['Seenotrettung', 'Sea Watch 3', 'Alan Kurdi', 'Carola Rackete']",[],Seenotrettung - Die Moral geht nach Hause,de,5310,2,False
cicero,https://www.cicero.de/aussenpolitik/fluechtlingskrise-eu-erdogan-tuerkei-syrien-russland-diplomatie,"['flüchtl', 'asyl', 'migration', 'migrant']",03.03.2020,03.03.2020,26.11.2020,['Karin Kneissl'],[],"['Türkei', 'EU-Türkei Abkommen', 'EU-Kommission', 'Syrien', 'Russland']",[],Flüchtlingskrise - Europas Ohnmacht im Krieg der Bilder,de,6463,6,False
cicero,https://www.cicero.de/kultur/Identitaetspolitik-seyran-ates-islam-religionsfreiheit,"['geflücht', 'migration', 'ausländer', 'migrant', 'zuwander']",15.08.2019,15.08.2019,26.11.2020,[],['Gastbeitrag'],"['Identitätspolitik', 'Seyran Ates', 'Migration', 'Islam', 'Islamkritik', 'Islamismus']",[],Identitätspolitik - Deutsch sein ist eh ganz blöd,de,13682,10,False
cicero,https://www.cicero.de/innenpolitik/extremismus-identitaere-bewegung-rechtsextremismus-linksextremismus-verfassungsschutz,"['flüchtl', 'asyl', 'ausländer']",12.07.2019,12.07.2019,26.11.2020,['Chiara Thies'],[],"['Rechtsextremismus', 'Linksextremismus', 'Thomas Haldenwang', 'Verfassungsschutz', 'Verfassungsschutzbericht']",[],Extremismus - Der kurze Weg zwischen Identitätspolitik und Identitärer Bewegung,de,5358,3,False
cicero,https://www.cicero.de/innenpolitik/cicero-oktober-merkel-integration-migration,"['flüchtl', 'zuwander', 'migration', 'einwander']",23.09.2019,23.09.2019,26.11.2020,['Christoph Schwennicke'],[],"['Angela Merkel', 'Flüchtlingskrise', 'Integration', 'Migration', 'Wir schaffen das']",[],Cicero im Oktober - Merkels ewiges Erbe,de,3006,1,False
cicero,https://www.cicero.de/aussenpolitik/migration-integration-stadt-gemeinde-fluechtlinge,"['zuwander', 'migration', 'migrant', 'flüchtl', 'asyl', 'einwander']",13.03.2019,13.03.2019,26.11.2020,['Kay Walter'],[],"['Migration', 'Integration', 'Stadt', 'Gemeinde', 'Flüchtlinge']",[],"Migration - „Es gibt keine Flüchtlinge, nur Menschen“",de,6272,5,False
cicero,https://www.cicero.de/innenpolitik/landtagswahlkampf-sachsen-cdu-michael-kretschmer-afd-pegida,['migration'],08.01.2019,08.01.2019,26.11.2020,[],['Interview'],"['CDU', 'Sachsen', 'Michael Kretschmer', 'AfD', 'Pegida', 'werner patzelt', 'rechtspopulismus']",[],"Landtagswahlkampf der CDU in Sachsen - „Man bekämpft die AfD nicht, indem man sie zum Partner erklärt“",de,12821,0,False
cicero,https://www.cicero.de/innenpolitik/messerattacke-cottbus-pressestelle-stadtverwaltung-abschiebung-taeter,"['migration', 'ausländer']",03.01.2019,03.01.2019,26.11.2020,['Ein Fundstück'],[],"['Cottbus', 'Neonazis', 'Zukunft Heimat', 'Flüchtlinge', 'Messerattacke']",[],"Messerattacke in Cottbus - Cottbus, der unbekannte Täter – und das Ticket in die Heimat",de,2762,0,False
cicero,https://www.cicero.de/aussenpolitik/wachsende-spannungen-mittelmeer-tuerkei-griechenland-eu,"['migration', 'flüchtl', 'migrant']",27.07.2021,27.07.2021,12.01.2022,['Antonia Colibasanu'],[],"['Türkei', 'Erdogan', 'Zypern']",[],Wachsende Spannungen im Mittelmeer - Projekt „Blaue Heimat“,de,16452,9,False
cicero,https://www.cicero.de/aussenpolitik/eu-tuerkei-treffen-ursula-von-der-leyen-charles-michel-recep-tayyip-erdogan-ankara,"['geflücht', 'migration', 'asyl', 'flüchtl']",08.04.2021,08.04.2021,12.01.2022,['Thomas Jäger'],[],"['EU', 'Türkei', 'Ursula von der Leyen', 'Charles Michel', 'Erdogan']",[],"Treffen von Erdogan, von der Leyen und Michel - Warum die EU für die Türkei nicht mehr attraktiv ist",de,5621,5,False
cicero,https://www.cicero.de/aussenpolitik/doku-drama-angela-merkel-fluechtlingskrise-ungarns-botschafter-zdf,"['flüchtl', 'einwander']",06.09.2019,06.09.2019,26.11.2020,[],['Fundstück'],"['ZDF', 'Angela Merkel', 'Bundeskanzlerin', 'Flüchtlingskrise', 'Ungarn']",[],Doku-Drama über Merkel und die Flüchtlingskrise - Ungarns Botschafter beklagt ZDF-„Schmutzkampagne“,de,2479,1,False
cicero,https://www.cicero.de/kultur/fake-news-titel,['migration'],27.03.2019,27.03.2019,25.11.2020,['Jan Skudlarek'],[],"['Fake News', 'AfD', 'Reichsbürger', 'Medien', 'Donald Trump']",[],Fake News - Diagnose: Wahrheitsschwund,de,10697,7,False
cicero,https://www.cicero.de/aussenpolitik/shutdown-usa-alexandria-ocasio-cortez-donald-trump-demokraten,"['migration', 'einwander']",10.01.2019,10.01.2019,25.11.2020,['Andreas Backhaus'],[],"['Shutdown', 'Donald Trump', 'USA', 'Alexandria Ocasio-Cortez', 'Demokraten']",[],"Shutdown in den USA - Mach's wie Trump, nur mit links",de,9182,4,False
cicero,https://www.cicero.de/innenpolitik/afd-wahlkampf-osten-brd-ddr-vergleich-diktatur,"['flüchtl', 'zuwander', 'ausländer']",20.08.2019,20.08.2019,26.11.2020,['Uwe Schwabe'],[],"['AfD', 'DDR', 'DDR Dissidenten', 'Bürgerbewegung', 'Björn Höcke']",[],"AfD-Wahlkampf im Osten – „Wer ‘Lügenpresse!‘ geschrien hätte, wäre im Stasi-Knast gelandet“",de,11923,0,False
cicero,https://www.cicero.de/innenpolitik/boris-palmer-facebook-streit-cancel-culture-die-gruenen-negerschwanz,"['refug', 'asyl', 'flüchtl']",29.12.2021,29.12.2021,12.01.2022,['Mathias Brodkorb'],[],"['Boris Palmer', 'Cancel Culture', 'Grüne', 'Meistgelesen 2021']",[],Grüne beschließen Partei-Ausschluss von Boris Palmer - Morbus Palmer,de,11198,8,False
cicero,https://www.cicero.de/innenpolitik/werteunion-walter-luebcke-peter-tauber-offener-brief-max-otte-afd,"['flüchtl', 'asyl', 'migration', 'migrant']",25.06.2019,25.06.2019,26.11.2020,['Bastian Brauns'],[],"['CDU', 'Werteunion', 'Walter Lübcke', 'Peter Tauber', 'Annegret  Kramp- Karrenbauer']",[],Mordfall Walter Lübcke - Werteunion wendet sich mit offenem Brief gegen Peter Tauber,de,4684,2,False
cicero,https://www.cicero.de/innenpolitik/machtubernahme-taliban-streit-um-evakuierungsplane-afghanischer-ortskrafte-bundeswehr,"['geflücht', 'flüchtl']",16.08.2021,16.08.2021,12.01.2022,[],['Cicero-Redaktion'],"['Afghanistan', 'Bundeswehr', 'Angela Merkel', 'Kramp-Karrenbauer']",[],Nach Machtübernahme durch Taliban - Streit um Evakuierungspläne afghanischer Ortskräfte,de,10626,8,False
cicero,https://www.cicero.de/innenpolitik/gesindel-nicolaus-fest-gastarbeiter-kurden-tuerken-syrien,"['flüchtl', 'migration', 'einwander']",26.10.2019,26.10.2019,26.11.2020,[],['Gastbeitrag'],"['Gastarbeiter', 'Türken', 'Kurden', 'AfD']",[],„Gesindel“-Sprüche & Kriegsgebete - Wir müssen uns mit der Härte der Themen konfrontieren,de,6553,5,False
cicero,https://www.cicero.de/innenpolitik/mordfall-walter-luebcke-afd-internet-hetzkampagne-nsu-verfassungsschutz-stephan-e,['flüchtl'],19.06.2019,19.06.2019,26.11.2020,['Daniel Köhler'],[],"['Walter Lübcke', 'AfD', 'Erika Steinbach', 'Rechtsextremismus', 'Verfassungsschutz', 'NSU']",[],Mordfall Walter Lübcke - „Die Sprache der AfD kann das Gefühl auslösen: Wir müssen uns wehren“,de,8738,0,False
cicero,https://www.cicero.de/aussenpolitik/amerika-nationalismus-wirtschaft-welt-trump-china-usa,['einwander'],07.08.2019,07.08.2019,26.11.2020,['Josef Braml'],[],"['USA', 'Wirtschaft', 'Nationalismus', 'Donald Trump', 'Trump']",[],Amerikas Nullsummen-Nationalismus - Eine Gefahr für die Weltwirtschaftsordnung,de,11153,7,False
cicero,https://www.cicero.de/aussenpolitik/syrer-tuerkei-fluechtlinge-rassismus-migration,['flüchtl'],08.08.2019,08.08.2019,26.11.2020,['Blick In Die Welt'],[],"['Türkei', 'Syrer', 'Flüchtlinge', 'Rassismus']",[],Syrer in der Türkei - Alles andere als willkommen,de,6413,5,False
cicero,https://www.cicero.de/aussenpolitik/grenzkonflikt-mit-belarus-lukaschenko-russland-ukraine-polen-migrationskrise-nato-eu,"['migration', 'ausländer', 'migrant', 'asyl', 'flüchtl', 'einwander']",01.12.2021,01.12.2021,12.01.2022,['Antonia Colibasanu'],[],"['Belarus', 'Russland', 'Polen', 'Migration', 'Alexander Lukaschenko', 'Ukraine']",[],Grenzkonflikt mit Belarus - Lukaschenko in der Falle,de,12235,5,False
cicero,https://www.cicero.de/kultur/osten-westen-wahlen-ddr-brd-mauer-identitaet-mauerfall,['migration'],13.02.2019,13.02.2019,25.11.2020,['Interview Mit'],[],"['Ostdeutschland', 'Westdeutschland', 'Mauerfall', 'DDR', 'BRD']",[],Ostdeutschland und Westdeutschland - „Die ‚Mauer in den Köpfen‘ wird gerade wieder gebaut“,de,8966,0,False
